Sigla;Geocod;nome;PA2020;RA2020;PF2020;RF2020;PM2020;RM2020;PS2020;RS2020;PT2020;RT2020;PA2021;RA2021;PF2021;RF2021;PM2021;RM2021;PS2021;RS2021;PT2021;RT2021;PA2022;RA2022;PF2022;RF2022;PM2022;RM2022;PS2022;RS2022;PT2022;RT2022;PA2023;RA2023;PF2023;RF2023;PM2023;RM2023;PS2023;RS2023;PT2023;RT2023;PA2024;RA2024;PF2024;RF2024;PM2024;RM2024;PS2024;RS2024;PT2024;RT2024
ME;4205;  Grande Florianópolis;32440;38928;1448;767;37235;37235;-;0;-;0;32051;38461;1427;756;37926;37926;-;0;-;0;32293;38752;1306;692;40005;40005;-;0;-;0;29462;35354;1308;693;41464;41464;2000;3000;50;65;28015;33618;1070;567;30903;30903;2000;3000;108;140
MI;42015;    Tijucas;16840;20208;747;396;10982;10982;-;0;-;0;17440;20928;754;400;10790;10790;-;0;-;0;16020;19224;698;370;16828;16828;-;0;-;0;12675;15210;621;329;16768;16768;-;0;50;65;13529;16235;666;353;13373;13373;-;0;108;140
MU;4200903;      Angelina;-;0;454;241;4286;4286;-;0;-;0;-;0;450;239;4100;4100;-;0;-;0;-;0;428;227;4612;4612;-;0;-;0;-;0;429;227;4752;4752;-;0;-;0;-;0;429;227;4752;4752;-;0;-;0
MU;4203709;      Canelinha;2080;2496;8;4;605;605;-;0;-;0;2080;2496;8;4;605;605;-;0;-;0;600;720;12;6;102;102;-;0;-;0;600;720;12;6;102;102;-;0;-;0;1125;1350;1;1;85;85;-;0;-;0
MU;4209805;      Leoberto Leal;-;0;171;91;4560;4560;-;0;-;0;-;0;186;99;4200;4200;-;0;-;0;-;0;183;97;5700;5700;-;0;-;0;-;0;105;56;5500;5500;-;0;50;65;-;0;211;112;3300;3300;-;0;108;140
MU;4210209;      Major Gercino;-;0;21;11;150;150;-;0;-;0;-;0;21;11;120;120;-;0;-;0;-;0;15;8;300;300;-;0;-;0;-;0;15;8;300;300;-;0;-;0;-;0;5;3;240;240;-;0;-;0
MU;4211504;      Nova Trento;-;0;72;38;797;797;-;0;-;0;-;0;72;38;847;847;-;0;-;0;-;0;45;24;4400;4400;-;0;-;0;-;0;45;24;4400;4400;-;0;-;0;-;0;13;7;4000;4000;-;0;-;0
MU;4216305;      São João Batista;360;432;16;8;507;507;-;0;-;0;360;432;16;8;493;493;-;0;-;0;420;504;11;6;1334;1334;-;0;-;0;420;504;11;6;1334;1334;-;0;-;0;420;504;3;2;934;934;-;0;-;0
MU;4218004;      Tijucas;14400;17280;5;3;77;77;-;0;-;0;15000;18000;1;1;425;425;-;0;-;0;15000;18000;4;2;380;380;-;0;-;0;11655;13986;4;2;380;380;-;0;-;0;11984;14381;4;2;62;62;-;0;-;0
MI;42016;    Florianópolis;14518;17422;57;30;600;600;-;0;-;0;13524;16229;68;36;705;705;-;0;-;0;15186;18223;70;37;703;703;-;0;-;0;15701;18841;50;27;531;531;-;0;-;0;13399;16079;53;28;514;514;-;0;-;0
MU;4201208;      Antônio Carlos;-;0;2;1;19;19;-;0;-;0;-;0;2;1;14;14;-;0;-;0;-;0;2;1;16;16;-;0;-;0;-;0;2;1;17;17;-;0;-;0;-;0;2;1;17;17;-;0;-;0
MU;4202305;      Biguaçu;1848;2218;6;3;-;-;-;0;-;0;1684;2021;6;3;-;-;-;0;-;0;1875;2250;-;0;-;-;-;0;-;0;1858;2230;-;0;-;-;-;0;-;0;2000;2400;-;0;-;-;-;0;-;0
MU;4205407;      Florianópolis;-;0;4;2;-;-;-;0;-;0;-;0;5;3;-;-;-;0;-;0;-;0;7;4;-;-;-;0;-;0;-;0;-;0;-;-;-;0;-;0;-;0;2;1;-;-;-;0;-;0
MU;4206009;      Governador Celso Ramos;...;0;...;0;...;...;...;0;...;0;...;0;...;0;...;...;...;0;...;0;...;0;...;0;...;...;...;0;...;0;...;0;...;0;...;...;...;0;...;0;-;0;-;0;-;-;-;0;-;0
MU;4211900;      Palhoça;4425;5310;2;1;-;-;-;0;-;0;3895;4674;4;2;-;-;-;0;-;0;3895;4674;4;2;-;-;-;0;-;0;4427;5312;4;2;-;-;-;0;-;0;4410;5292;4;2;-;-;-;0;-;0
MU;4212304;      Paulo Lopes;8125;9750;20;11;193;193;-;0;-;0;7886;9463;26;14;251;251;-;0;-;0;9374;11249;26;14;251;251;-;0;-;0;9374;11249;26;14;251;251;-;0;-;0;6926;8311;26;14;235;235;-;0;-;0
MU;4215703;      Santo Amaro da Imperatriz;120;144;3;2;18;18;-;0;-;0;59;71;3;2;50;50;-;0;-;0;42;50;9;5;49;49;-;0;-;0;42;50;2;1;50;50;-;0;-;0;63;76;2;1;50;50;-;0;-;0
MU;4216602;      São José;-;0;17;9;155;155;-;0;-;0;-;0;17;9;175;175;-;0;-;0;-;0;17;9;172;172;-;0;-;0;-;0;12;6;111;111;-;0;-;0;-;0;13;7;110;110;-;0;-;0
MU;4217253;      São Pedro de Alcântara;-;0;3;2;215;215;-;0;-;0;-;0;5;3;215;215;-;0;-;0;-;0;5;3;215;215;-;0;-;0;-;0;4;2;102;102;-;0;-;0;-;0;4;2;102;102;-;0;-;0
MI;42017;    Tabuleiro;1082;1298;644;341;25653;25653;-;0;-;0;1087;1304;605;321;26431;26431;-;0;-;0;1087;1304;538;285;22474;22474;-;0;-;0;1086;1303;637;338;24165;24165;2000;3000;-;0;1087;1304;351;186;17016;17016;2000;3000;-;0
MU;4200606;      Águas Mornas;-;0;7;4;550;550;-;0;-;0;-;0;7;4;500;500;-;0;-;0;-;0;7;4;500;500;-;0;-;0;-;0;7;4;635;635;-;0;-;0;-;0;7;4;635;635;-;0;-;0
MU;4200705;      Alfredo Wagner;1075;1290;472;250;22246;22246;-;0;-;0;1075;1290;480;254;23614;23614;-;0;-;0;1075;1290;402;213;18852;18852;-;0;-;0;1075;1290;498;264;20652;20652;2000;3000;-;0;1075;1290;241;128;14457;14457;2000;3000;-;0
MU;4201109;      Anitápolis;2;2;107;57;1219;1219;-;0;-;0;3;4;75;40;1219;1219;-;0;-;0;3;4;77;41;1372;1372;-;0;-;0;3;4;80;42;1343;1343;-;0;-;0;3;4;64;34;748;748;-;0;-;0
MU;4214300;      Rancho Queimado;-;0;10;5;1140;1140;-;0;-;0;-;0;10;5;348;348;-;0;-;0;-;0;3;2;1000;1000;-;0;-;0;-;0;3;2;1000;1000;-;0;-;0;-;0;3;2;701;701;-;0;-;0
MU;4215901;      São Bonifácio;5;6;48;25;498;498;-;0;-;0;9;11;33;17;750;750;-;0;-;0;9;11;49;26;750;750;-;0;-;0;8;10;49;26;535;535;-;0;-;0;9;11;36;19;475;475;-;0;-;0
ME;4206;  Sul Catarinense;834116;1000939;2759;1462;127192;127192;15184;22776;-;0;819779;983735;3105;1646;126840;126840;21033;31550;-;0;802718;963262;2726;1445;162117;162117;30115;45173;1187;1543;789632;947558;1757;931;133201;133201;45733;68600;1863;2422;747122;896546;901;478;109654;109654;37134;55701;1264;1643
MI;42018;    Tubarão;150548;180658;1098;582;23870;23870;2903;4355;-;0;131283;157540;1139;604;24791;24791;4758;7137;-;0;126698;152038;1116;591;31421;31421;4367;6551;632;822;98249;117899;1068;566;37436;37436;12448;18672;893;1161;107262;128714;608;322;26905;26905;10646;15969;625;813
MU;4201505;      Armazém;-;0;252;134;1200;1200;-;0;-;0;-;0;252;134;1200;1200;-;0;-;0;-;0;171;91;1200;1200;-;0;-;0;-;0;171;91;1200;1200;-;0;-;0;-;0;83;44;2970;2970;-;0;-;0
MU;4202800;      Braço do Norte;-;0;23;12;720;720;-;0;-;0;-;0;25;13;612;612;-;0;-;0;-;0;25;13;623;623;-;0;-;0;-;0;25;13;780;780;-;0;-;0;-;0;24;13;3000;3000;-;0;-;0
MU;4203956;      Capivari de Baixo;15416;18499;-;0;-;-;577;866;-;0;14214;17057;-;0;-;-;678;1017;-;0;10694;12833;-;0;-;-;1144;1716;257;334;4765;5718;-;0;2835;2835;2659;3989;168;218;7200;8640;-;0;706;706;1629;2444;-;0
MU;4205704;      Garopaba;1135;1362;4;2;294;294;-;0;-;0;1049;1259;3;2;49;49;-;0;-;0;1072;1286;3;2;98;98;-;0;-;0;1085;1302;3;2;24;24;-;0;-;0;1097;1316;3;2;25;25;-;0;-;0
MU;4206108;      Grão-Pará;4;5;26;14;2423;2423;-;0;-;0;4;5;25;13;2338;2338;-;0;-;0;4;5;54;29;2267;2267;-;0;-;0;4;5;50;27;2210;2210;-;0;-;0;4;5;50;27;2210;2210;-;0;-;0
MU;4206207;      Gravatal;3360;4032;10;5;42;42;203;305;-;0;3354;4025;11;6;38;38;203;305;-;0;2774;3329;10;5;24;24;294;441;-;0;1150;1380;7;4;23;23;1200;1800;-;0;1400;1680;5;3;18;18;1336;2004;-;0
MU;4207205;      Imaruí;21113;25336;79;42;336;336;198;297;-;0;18984;22781;79;42;280;280;198;297;-;0;18984;22781;79;42;210;210;198;297;-;0;20088;24106;41;22;180;180;336;504;-;0;19440;23328;41;22;245;245;280;420;-;0
MU;4207304;      Imbituba;16248;19498;12;6;120;120;30;45;-;0;15429;18515;12;6;120;120;35;53;-;0;15429;18515;12;6;120;120;35;53;-;0;14757;17708;9;5;120;120;369;554;-;0;14175;17010;9;5;120;120;285;428;-;0
MU;4208807;      Jaguaruna;33908;40690;-;0;750;750;420;630;-;0;31446;37735;-;0;750;750;420;630;-;0;31446;37735;-;0;750;750;420;630;-;0;26980;32376;-;0;1080;1080;2142;3213;-;0;25650;30780;-;0;900;900;1692;2538;-;0
MU;4209409;      Laguna;7748;9298;9;5;48;48;-;0;-;0;6433;7720;9;5;52;52;-;0;-;0;1072;1286;9;5;57;57;-;0;-;0;1060;1272;5;3;342;342;-;0;-;0;1100;1320;5;3;330;330;-;0;-;0
MU;4211702;      Orleans;5;6;70;37;5040;5040;-;0;-;0;5;6;114;60;3780;3780;-;0;-;0;5;6;138;73;4800;4800;36;54;-;0;6;7;73;39;4500;4500;300;450;100;130;6;7;50;27;5400;5400;300;450;-;0
MU;4212403;      Pedras Grandes;351;421;224;119;3334;3334;-;0;-;0;351;421;224;119;3445;3445;-;0;-;0;351;421;224;119;3445;3445;-;0;-;0;351;421;224;119;2963;2963;4;6;-;0;280;336;20;11;1200;1200;105;158;-;0
MU;4212650;      Pescaria Brava;86;103;5;3;24;24;-;0;-;0;86;103;5;3;18;18;-;0;-;0;86;103;5;3;18;18;-;0;-;0;-;0;5;3;18;18;18;27;-;0;-;0;3;2;8;8;-;0;-;0
MU;4214904;      Rio Fortuna;-;0;10;5;153;153;-;0;-;0;-;0;5;3;157;157;-;0;-;0;-;0;5;3;158;158;85;128;-;0;-;0;31;16;300;300;-;0;-;0;-;0;41;22;150;150;-;0;-;0
MU;4215455;      Sangão;5000;6000;-;0;192;192;-;0;-;0;4358;5230;-;0;288;288;-;0;-;0;4411;5293;-;0;308;308;-;0;-;0;4269;5123;-;0;192;192;-;0;-;0;4269;5123;-;0;192;192;-;0;-;0
MU;4215604;      Santa Rosa de Lima;4;5;7;4;408;408;-;0;-;0;3;4;7;4;392;392;-;0;-;0;3;4;7;4;403;403;-;0;-;0;2;2;10;5;300;300;-;0;-;0;1;1;10;5;250;250;-;0;-;0
MU;4217006;      São Ludgero;-;0;21;11;427;427;-;0;-;0;-;0;21;11;420;420;-;0;-;0;-;0;21;11;426;426;-;0;-;0;-;0;100;53;426;426;-;0;-;0;-;0;26;14;304;304;-;0;-;0
MU;4217105;      São Martinho;-;0;118;63;600;600;-;0;-;0;-;0;119;63;600;600;-;0;-;0;-;0;119;63;600;600;-;0;-;0;-;0;120;64;780;780;-;0;-;0;-;0;120;64;300;300;-;0;-;0
MU;4218400;      Treze de Maio;8343;10012;144;76;6289;6289;254;381;-;0;6767;8120;144;76;6052;6052;254;381;-;0;6767;8120;144;76;5914;5914;235;353;375;488;6767;8120;84;45;8400;8400;968;1452;625;813;7650;9180;60;32;3810;3810;1440;2160;625;813
MU;4218707;      Tubarão;37827;45392;84;45;1470;1470;1221;1832;-;0;28800;34560;84;45;4200;4200;2970;4455;-;0;33600;40320;90;48;10000;10000;1920;2880;-;0;16965;20358;110;58;10763;10763;4452;6678;-;0;24990;29988;58;31;4767;4767;3579;5369;-;0
MI;42019;    Criciúma;188866;226639;1207;640;51272;51272;10772;16158;-;0;189090;226908;1461;774;59414;59414;14728;22092;-;0;181779;218135;1082;573;65522;65522;17871;26807;210;273;166656;199987;275;146;30179;30179;22389;33584;490;637;182415;218898;241;128;50933;50933;20659;30989;351;456
MU;4220000;      Balneário Rincão;-;0;-;0;-;-;-;0;-;0;-;0;-;0;-;-;-;0;-;0;-;0;-;0;42;42;6;9;-;0;-;0;-;0;16;16;-;0;-;0;-;0;-;0;18;18;-;0;-;0
MU;4204251;      Cocal do Sul;750;900;140;74;1890;1890;54;81;-;0;617;740;152;81;2574;2574;90;135;-;0;760;912;210;111;4950;4950;240;360;-;0;600;720;12;6;2226;2226;750;1125;49;64;600;720;32;17;2975;2975;1080;1620;140;182
MU;4204608;      Criciúma;1950;2340;290;154;7200;7200;3240;4860;-;0;1993;2392;277;147;9600;9600;4680;7020;-;0;1979;2375;189;100;9600;9600;5400;8100;210;273;1800;2160;68;36;5880;5880;5400;8100;112;146;3626;4351;7;4;7800;7800;5400;8100;10;13
MU;4205456;      Forquilhinha;94000;112800;162;86;9100;9100;2990;4485;-;0;93930;112716;112;59;10500;10500;3960;5940;-;0;87750;105300;24;13;10625;10625;2625;3938;-;0;78000;93600;8;4;5320;5320;3750;5625;-;0;81413;97696;-;0;11200;11200;3600;5400;-;0
MU;4207007;      Içara;13860;16632;360;191;17100;17100;3300;4950;-;0;12650;15180;480;254;20400;20400;4680;7020;-;0;12100;14520;370;196;20160;20160;7920;11880;-;0;12100;14520;90;48;6000;6000;10800;16200;83;108;13200;15840;120;64;14000;14000;9000;13500;75;98
MU;4209607;      Lauro Müller;10;12;22;12;1100;1100;-;0;-;0;10;12;30;16;1000;1000;-;0;-;0;10;12;52;28;1375;1375;-;0;-;0;10;12;20;11;1482;1482;-;0;-;0;-;0;14;7;1200;1200;-;0;-;0
MU;4211207;      Morro da Fumaça;2602;3122;66;35;1716;1716;912;1368;-;0;3024;3629;171;91;2550;2550;1102;1653;-;0;2324;2789;45;24;2412;2412;750;1125;-;0;2964;3557;9;5;1554;1554;1050;1575;216;281;3268;3922;-;0;2376;2376;1134;1701;96;125
MU;4211603;      Nova Veneza;74656;89587;52;28;8970;8970;60;90;-;0;75650;90780;60;32;7590;7590;-;0;-;0;75680;90816;38;20;10350;10350;720;1080;-;0;70400;84480;36;19;4830;4830;540;810;-;0;79200;95040;36;19;6480;6480;180;270;-;0
MU;4217600;      Siderópolis;690;828;38;20;1700;1700;-;0;-;0;825;990;67;36;2250;2250;-;0;-;0;781;937;68;36;2560;2560;-;0;-;0;523;628;24;13;891;891;12;18;-;0;825;990;18;10;1944;1944;100;150;-;0
MU;4218350;      Treviso;70;84;6;3;144;144;-;0;-;0;65;78;6;3;150;150;-;0;-;0;75;90;4;2;198;198;-;0;-;0;75;90;3;2;180;180;-;0;-;0;80;96;2;1;240;240;-;0;-;0
MU;4219002;      Urussanga;278;334;71;38;2352;2352;216;324;-;0;326;391;106;56;2800;2800;216;324;-;0;320;384;82;43;3250;3250;210;315;-;0;184;221;5;3;1800;1800;87;131;30;39;203;244;12;6;2700;2700;165;248;30;39
MI;42020;    Araranguá;494702;593642;454;241;52050;52050;1509;2264;-;0;499406;599287;505;268;42635;42635;1547;2321;-;0;494241;593089;528;280;65174;65174;7877;11816;345;449;524727;629672;414;219;65586;65586;10896;16344;480;624;457445;548934;52;28;31816;31816;5829;8744;288;374
MU;4201406;      Araranguá;41452;49742;48;25;6000;6000;972;1458;-;0;48637;58364;48;25;6000;6000;1031;1547;-;0;45500;54600;30;16;6555;6555;1200;1800;345;449;44216;53059;30;16;6840;6840;1440;2160;480;624;40347;48416;-;0;3990;3990;1404;2106;288;374
MU;4201950;      Balneário Arroio do Silva;...;0;...;0;...;...;...;0;...;0;...;0;...;0;...;...;...;0;...;0;...;0;...;0;...;...;...;0;...;0;...;0;...;0;...;...;...;0;...;0;...;0;...;0;...;...;...;0;...;0
MU;4202073;      Balneário Gaivota;-;0;10;5;-;-;-;0;-;0;-;0;13;7;-;-;-;0;-;0;-;0;10;5;900;900;522;783;-;0;-;0;10;5;900;900;450;675;-;0;-;0;-;0;165;165;306;459;-;0
MU;4205191;      Ermo;30816;36979;25;13;3240;3240;246;369;-;0;27392;32870;27;14;2031;2031;162;243;-;0;30900;37080;126;67;3630;3630;792;1188;-;0;30248;36298;90;48;3240;3240;972;1458;-;0;26592;31910;-;0;1620;1620;450;675;-;0
MU;4208708;      Jacinto Machado;66462;79754;15;8;6480;6480;-;0;-;0;66865;80238;15;8;4125;4125;-;0;-;0;64448;77338;11;6;7134;7134;144;216;-;0;67670;81204;16;8;7830;7830;225;338;-;0;66462;79754;-;0;4698;4698;90;135;-;0
MU;4210407;      Maracajá;14800;17760;20;11;1080;1080;36;54;-;0;16280;19536;19;10;1215;1215;-;0;-;0;15355;18426;15;8;1950;1950;252;378;-;0;17482;20978;20;11;1800;1800;564;846;-;0;13875;16650;-;0;1260;1260;420;630;-;0
MU;4210803;      Meleiro;90543;108652;90;48;5937;5937;150;225;-;0;90543;108652;120;64;6270;6270;150;225;-;0;93836;112603;60;32;5760;5760;1560;2340;-;0;96580;115896;60;32;6120;6120;1920;2880;-;0;92739;111287;50;27;6720;6720;840;1260;-;0
MU;4211256;      Morro Grande;25509;30611;25;13;3360;3360;-;0;-;0;25663;30796;25;13;2208;2208;-;0;-;0;26505;31806;15;8;5265;5265;108;162;-;0;27125;32550;15;8;4680;4680;108;162;-;0;25265;30318;-;0;1650;1650;168;252;-;0
MU;4212254;      Passo de Torres;4152;4982;-;0;120;120;-;0;-;0;4152;4982;-;0;120;120;-;0;-;0;4498;5398;-;0;375;375;495;743;-;0;4982;5978;-;0;900;900;558;837;-;0;4498;5398;-;0;517;517;558;837;-;0
MU;4213807;      Praia Grande;34020;40824;10;5;1980;1980;-;0;-;0;36515;43818;10;5;1800;1800;-;0;-;0;31752;38102;6;3;3780;3780;32;48;-;0;40597;48716;10;5;2772;2772;126;189;-;0;31752;38102;-;0;450;450;54;81;-;0
MU;4215653;      Santa Rosa do Sul;5535;6642;25;13;720;720;-;0;-;0;6847;8216;25;13;450;450;-;0;-;0;6396;7675;15;8;780;780;120;180;-;0;7380;8856;37;20;780;780;600;900;-;0;5800;6960;-;0;390;390;180;270;-;0
MU;4216404;      São João do Sul;39510;47412;20;11;3456;3456;-;0;-;0;32024;38429;20;11;3648;3648;-;0;-;0;38470;46164;25;13;4163;4163;900;1350;-;0;41590;49908;15;8;3960;3960;900;1350;-;0;31793;38152;-;0;900;900;180;270;-;0
MU;4217709;      Sombrio;12571;15085;20;11;4080;4080;-;0;-;0;12202;14642;25;13;4335;4335;75;113;-;0;12201;14641;125;66;11760;11760;450;675;-;0;13465;16158;21;11;12735;12735;1113;1670;-;0;10720;12864;-;0;4290;4290;342;513;-;0
MU;4218103;      Timbé do Sul;21051;25261;58;31;4797;4797;-;0;-;0;22220;26664;100;53;2153;2153;-;0;-;0;20100;24120;50;27;5166;5166;-;0;-;0;20817;24980;50;27;5073;5073;36;54;-;0;17542;21050;-;0;1890;1890;27;41;-;0
MU;4218806;      Turvo;108281;129937;88;47;10800;10800;105;158;-;0;110066;132079;58;31;8280;8280;129;194;-;0;104280;125136;40;21;7956;7956;1302;1953;-;0;112575;135090;40;21;7956;7956;1884;2826;-;0;90060;108072;2;1;3276;3276;810;1215;-;0
