Sigla;Geocod;nome;PA2020;RA2020;PF2020;RF2020;PM2020;RM2020;PS2020;RS2020;PT2020;RT2020;PA2021;RA2021;PF2021;RF2021;PM2021;RM2021;PS2021;RS2021;PT2021;RT2021;PA2022;RA2022;PF2022;RF2022;PM2022;RM2022;PS2022;RS2022;PT2022;RT2022;PA2023;RA2023;PF2023;RF2023;PM2023;RM2023;PS2023;RS2023;PT2023;RT2023;PA2024;RA2024;PF2024;RF2024;PM2024;RM2024;PS2024;RS2024;PT2024;RT2024
MU;4202503;      Bom Jardim da Serra;-;0;60;32;540;540;-;0;-;0;-;0;105;56;720;720;-;0;-;0;-;0;116;61;720;720;-;0;-;0;-;0;99;52;630;630;-;0;-;0;-;0;21;11;315;315;-;0;-;0
MU;4202602;      Bom Retiro;-;0;360;191;9600;9600;20400;30600;360;468;-;0;480;254;15000;15000;30960;46440;360;468;-;0;414;219;18000;18000;21600;32400;2520;3276;-;0;489;259;27000;27000;33600;50400;720;936;-;0;369;196;6000;6000;19460;29190;1260;1638
MU;4203402;      Campo Belo do Sul;10;12;1820;965;24000;24000;21600;32400;1260;1638;12;14;3120;1654;36000;36000;42780;64170;1260;1638;9;11;1950;1034;14700;14700;35100;52650;9450;12285;6;7;960;509;27000;27000;52080;78120;1530;1989;6;7;924;490;19200;19200;35520;53280;2880;3744
MU;4203253;      Capão Alto;-;0;480;254;16200;16200;14040;21060;180;234;-;0;960;509;26880;26880;23064;34596;540;702;-;0;346;183;9600;9600;16800;25200;2550;3315;-;0;720;382;28800;28800;35100;52650;1440;1872;-;0;360;191;17136;17136;23760;35640;2520;3276
MU;4204152;      Celso Ramos;-;0;12;6;2592;2592;1620;2430;-;0;-;0;44;23;2592;2592;2088;3132;-;0;-;0;45;24;7000;7000;3600;5400;-;0;-;0;42;22;5700;5700;3600;5400;90;117;-;0;60;32;4200;4200;3240;4860;-;0
MU;4204178;      Cerro Negro;4;5;1500;795;14400;14400;10260;15390;-;0;6;7;2640;1399;23400;23400;17856;26784;-;0;6;7;810;429;6900;6900;11760;17640;720;936;6;7;1440;763;15120;15120;25620;38430;1200;1560;5;6;1440;763;11520;11520;18300;27450;1680;2184
MU;4204558;      Correia Pinto;-;0;375;199;10800;10800;8496;12744;360;468;-;0;420;223;16200;16200;12744;19116;360;468;-;0;375;199;10800;10800;13500;20250;-;0;-;0;216;114;7200;7200;22260;33390;510;663;-;0;180;95;4320;4320;16704;25056;504;655
MU;4209300;      Lages;-;0;1200;636;21600;21600;19800;29700;180;234;-;0;2400;1272;36000;36000;46800;70200;180;234;-;0;1800;954;15000;15000;23400;35100;4200;5460;-;0;3150;1670;45000;45000;50220;75330;3600;4680;-;0;1800;954;21600;21600;30240;45360;1800;2340
MU;4211751;      Otacílio Costa;-;0;126;67;12000;12000;17100;25650;288;374;-;0;240;127;27000;27000;28800;43200;288;374;-;0;225;119;22500;22500;27120;40680;1300;1690;-;0;300;159;15000;15000;39900;59850;120;156;-;0;1056;560;1800;1800;37440;56160;420;546
MU;4211892;      Painel;-;0;90;48;1200;1200;1380;2070;-;0;-;0;90;48;1200;1200;2520;3780;-;0;-;0;24;13;2160;2160;2160;3240;-;0;-;0;42;22;2160;2160;2880;4320;-;0;-;0;36;19;1200;1200;2550;3825;-;0
